iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
949,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,N/A,[],616,"[[0, 0], [17, 279]]",0.9421768707482993,0.8333333333333334,0.804421768707483,0.8175046554934823,,,,0
954,ET,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 0.5}",pca,True,10,[],616,"[[0, 0], [26, 270]]",0.9122778143515471,0.6666666666666666,0.6228055738424403,0.6416254310991153,,,,0
956,RF,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,15,[],616,"[[0, 0], [29, 267]]",0.9020737327188941,0.6666666666666666,0.6177035330261137,0.6382141250562303,,,,0
958,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,5,[],616,"[[0, 0], [29, 267]]",0.9020737327188941,0.6666666666666666,0.6177035330261137,0.6382141250562303,,,,0
959,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",freq,False,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
961,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'sqrt'}",,False,N/A,['relationExtrusionWeight'],518,[[249]],1.0,1.0,1.0,1.0,,,,0
963,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[0, 0], [9, 287]]",0.9693877551020408,0.8333333333333334,0.8180272108843537,0.8253119429590018,,,,0
966,ET,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'sqrt'}",freq,False,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
967,RF,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'max_features': 0.5}",freq,True,N/A,[],616,"[[0, 0], [17, 279]]",0.9428900592495063,0.6666666666666666,0.6381116962914198,0.6511770880191933,,,,0
971,ET,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'log2'}",pca,True,5,[],616,"[[0, 0], [33, 263]]",0.8880783350829434,0.5,0.4440391675414717,0.4673907176740811,,,,0
974,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,20,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
975,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,5,[],616,"[[0, 0], [29, 267]]",0.9020737327188941,0.6666666666666666,0.6177035330261137,0.6382141250562303,,,,0
987,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",freq,False,N/A,"['relationExtrusionWeight', 'drugConcentration']",518,[[249]],1.0,1.0,1.0,1.0,,,,0
989,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'log2'}",freq,False,N/A,[],616,"[[0, 0], [15, 281]]",0.9489795918367347,0.8333333333333334,0.8078231292517007,0.8195211786372006,,,,0
992,ET,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,20,[],616,"[[0, 0], [31, 265]]",0.8952710116304585,0.6666666666666666,0.6143021724818959,0.6358714209062972,,,,0
993,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'log2'}",pca,True,15,[],616,"[[0, 0], [32, 264]]",0.891869651086241,0.6666666666666666,0.6126014922097872,0.6346787715208767,,,,0
997,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",pca,False,5,['drugConcentration'],616,"[[0, 0], [47, 249]]",0.8471344945999325,0.5,0.42356724729996625,0.4572488985618959,,,,0
1000,ET,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 'log2'}",freq,True,N/A,[],616,"[[0, 0], [16, 280]]",0.945578231292517,0.8333333333333334,0.8061224489795918,0.8185185185185185,,,,0
