iteration,model,hp,dim_method,do_scale,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
500,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
550,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[27, 60], [19, 510]]",0.8717414109624967,0.7565594315760124,0.6369235241266318,0.6661952958036025,0.3412397762245714,0.023500511271135855,0.3177392649534356,1
73,NN,"{'hidden_layer_sizes': (128,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[26, 61], [16, 513]]",0.8749934434828219,0.7816567135211203,0.6341981572503215,0.6662477190505481,0.34345376671260935,0.025778252442722884,0.3176755142698865,1
138,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'scale'}",freq,True,N/A,[],616,"[[28, 59], [22, 507]]",0.8684893784421714,0.7326056204946366,0.639975688388563,0.6672704706287773,0.3409446075661163,0.023760973447727377,0.3171836341183889,1
476,SVM,"{'C': 10, 'kernel': 'poly', 'gamma': 'auto'}",freq,True,N/A,[],616,"[[28, 59], [22, 507]]",0.8684893784421714,0.7326056204946366,0.639975688388563,0.6672704706287773,0.3409446075661163,0.023760973447727377,0.3171836341183889,1
672,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[26, 61], [18, 511]]",0.8717545239968529,0.7606391774173773,0.6323113647974913,0.6619402036073337,0.3338528837439827,0.017076366722707757,0.31677651702127496,1
183,NN,"{'hidden_layer_sizes': (256,), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,5,[],616,"[[27, 60], [19, 510]]",0.871767637031209,0.7652652387225659,0.6369235241266318,0.6665909297168533,0.3423217442406993,0.025725840639760137,0.31659590360093914,1
808,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'auto'}",pca,False,15,['drugConcentration'],616,"[[34, 53], [24, 505]]",0.8750196695515342,0.7593997662948236,0.6730562161971707,0.6996450010135374,0.40365718636596154,0.08732287917993616,0.3163343071860254,1
81,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,False,5,[],616,"[[29, 58], [23, 506]]",0.8685156045108838,0.7506145922100969,0.6442610503320825,0.6699279673595128,0.3473281498390309,0.031159800414217245,0.31616834942481364,1
195,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",freq,True,N/A,[],616,"[[29, 58], [22, 507]]",0.8701285077366903,0.7400689216450086,0.6452044465584976,0.671395560645923,0.3496965525512698,0.034039578545157115,0.3156569740061127,1
165,RF,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",pca,False,20,[],616,"[[44, 43], [28, 501]]",0.8848151062155782,0.7798938445274748,0.7261363916635837,0.7330620134796808,0.47188637451514975,0.15696286561376616,0.3149235089013836,1
825,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,True,20,[],616,"[[42, 45], [28, 501]]",0.881549960660897,0.7749393388725812,0.7147074678928176,0.7256368190128433,0.45688183063854293,0.14273162967085984,0.3141502009676831,1
266,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,10,[],616,"[[42, 45], [37, 492]]",0.8669289273537897,0.7242938556812695,0.7055363529059423,0.7089999631066352,0.42043379533861724,0.10772853663301968,0.31270525870559757,1
907,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",pca,True,20,[],616,"[[45, 42], [29, 500]]",0.8848019931812221,0.7690067941001614,0.730103940947448,0.7369565939006828,0.47856250026425756,0.16587373351135146,0.31268876675290613,1
913,ET,"{'n_estimators': 500, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 0.5}",pca,False,20,[],616,"[[35, 52], [23, 506]]",0.8782848151062156,0.7889227555933163,0.6792193858675546,0.7000839066710575,0.407891168024155,0.0955743693303029,0.3123167986938521,1
477,NN,"{'hidden_layer_sizes': (256,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[26, 61], [17, 512]]",0.8733805402570155,0.7726323566519359,0.6332547610239063,0.6642285077039826,0.3389218804804813,0.026745892016959538,0.31217598846352174,1
854,NN,"{'hidden_layer_sizes': (256,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[26, 61], [17, 512]]",0.8733805402570155,0.7726323566519359,0.6332547610239063,0.6642285077039826,0.3389218804804813,0.026745892016959538,0.31217598846352174,1
278,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,N/A,[],616,"[[25, 62], [14, 515]]",0.8766194597429845,0.7865958631971122,0.6302025967619752,0.6638913212770202,0.3397378473673678,0.027562203667410436,0.3121756436999574,1
