iteration,model,hp,dim_method,do_scale,filter_ok,n_pca,other_cols,dataset_size,confusion_matrix,accuracy,precision,recall,f1,kappa,kappa_std,score,kappa_nonzero
768,NN,"{'hidden_layer_sizes': (64,), 'activation': 'tanh', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,['drugConcentration'],66,"[[19, 2], [8, 3]]",0.7333333333333334,0.6166666666666667,0.6666666666666666,0.6292335115864528,,,,0
769,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'auto'}",freq,True,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",61,"[[16, 1], [9, 3]]",0.654049654049654,0.5819865319865319,0.6055555555555555,0.5486772486772487,,,,0
770,SVM,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",pca,True,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
772,RF,"{'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,True,20,['drugConcentration'],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
776,NN,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,[],66,"[[18, 3], [8, 3]]",0.6916666666666668,0.4291666666666667,0.5,0.45862242332830566,,,,0
782,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
784,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,['relationExtrusionWeight'],61,"[[10, 7], [6, 6]]",0.5771265771265771,0.28856328856328856,0.5,0.3631996658312448,,,,0
789,NN,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,10,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
790,SVM,"{'C': 100, 'kernel': 'linear', 'gamma': 'scale'}",pca,True,True,20,[],66,"[[15, 6], [7, 4]]",0.5726190476190477,0.5361111111111111,0.5952380952380952,0.46750417338652633,,,,0
797,ET,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",pca,False,True,10,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
798,RF,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,True,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
799,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,True,True,5,[],66,"[[21, 0], [10, 1]]",0.7154761904761905,0.5189102564102565,0.5238095238095238,0.4511437908496732,,,,0
800,ET,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 5, 'max_features': 0.5}",freq,False,True,N/A,"['relationExtrusionWeight', 'drugConcentration']",61,"[[12, 5], [8, 4]]",0.599104599104599,0.4973544973544974,0.5936507936507937,0.5275132275132275,,,,0
806,ET,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [9, 2]]",0.6678571428571428,0.40324074074074073,0.4761904761904762,0.4316993464052287,,,,0
807,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
808,SVM,"{'C': 100, 'kernel': 'poly', 'gamma': 'auto'}",pca,False,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
811,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,True,5,['relationExtrusionWeight'],61,"[[14, 3], [9, 3]]",0.6027676027676027,0.5168350168350168,0.6039682539682539,0.5079365079365079,,,,0
812,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'log2'}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
816,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.5}",pca,True,True,5,[],66,"[[19, 2], [9, 2]]",0.6738095238095237,0.4615440115440115,0.5,0.45788982259570493,,,,0
818,NN,"{'hidden_layer_sizes': (128, 128), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",freq,True,True,N/A,[],66,"[[18, 3], [8, 3]]",0.6916666666666668,0.4291666666666667,0.5,0.45862242332830566,,,,0
825,ET,"{'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,False,True,20,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
826,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'log2'}",,False,True,N/A,['drugConcentration'],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
828,ET,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'max_features': 0.5}",pca,True,True,15,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
832,SVM,"{'C': 100, 'kernel': 'rbf', 'gamma': 'scale'}",pca,True,True,20,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
833,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",freq,False,True,N/A,[],66,"[[18, 3], [9, 2]]",0.6678571428571428,0.40324074074074073,0.4761904761904762,0.4316993464052287,,,,0
834,SVM,"{'C': 1, 'kernel': 'rbf', 'gamma': 'scale'}",pca,False,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
835,RF,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'max_features': 'sqrt'}",pca,False,True,15,[],66,"[[20, 1], [8, 3]]",0.7392857142857143,0.4875,0.5476190476190476,0.5013666072489602,,,,0
842,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",freq,False,True,N/A,[],66,"[[18, 3], [9, 2]]",0.6678571428571428,0.40324074074074073,0.4761904761904762,0.4316993464052287,,,,0
851,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
853,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 'sqrt'}",pca,False,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
856,RF,"{'n_estimators': 100, 'max_depth': 5, 'min_samples_split': 10, 'max_features': 0.5}",pca,False,True,20,[],66,"[[20, 1], [9, 2]]",0.7154761904761905,0.464520202020202,0.5238095238095238,0.4705882352941176,,,,0
857,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'tanh', 'alpha': 0.01, 'learning_rate_init': 0.0001, 'max_iter': 1000, 'early_stopping': False}",freq,False,True,N/A,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
858,RF,"{'n_estimators': 300, 'max_depth': None, 'min_samples_split': 2, 'max_features': 0.5}",freq,True,True,N/A,[],66,"[[18, 3], [11, 0]]",0.6202380952380953,0.32310606060606056,0.42857142857142855,0.36688453159041395,,,,0
860,RF,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 0.5}",pca,False,True,10,[],66,"[[18, 3], [6, 5]]",0.7392857142857143,0.4777777777777777,0.5476190476190476,0.5064856711915535,,,,0
862,NN,"{'hidden_layer_sizes': (256, 256), 'activation': 'tanh', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,True,True,5,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
864,SVM,"{'C': 1, 'kernel': 'poly', 'gamma': 'scale'}",,False,True,N/A,['relationExtrusionWeight'],61,"[[17, 0], [12, 0]]",0.6027676027676027,0.30138380138380133,0.5,0.3746031746031746,,,,0
868,NN,"{'hidden_layer_sizes': (64, 64), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.0005, 'max_iter': 1000, 'early_stopping': False}",pca,False,True,10,[],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
873,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'sqrt'}",,True,True,N/A,['drugConcentration'],66,"[[21, 0], [11, 0]]",0.6916666666666668,0.3458333333333334,0.5,0.40392156862745093,,,,0
