iteration,model,hp,n_pca,do_scale,dataset_size,mae,rmse,r2,r2_std,score
3,ET,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 0.5}",20,True,2097,0.38614428964486036,0.43802159354300385,-0.3626416321422948,0.4408876067346499,-0.8035292388769446
6,ET,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 0.5}",5,False,2097,0.3897813699144512,0.44146026087412876,-0.38251559100565835,0.4283069399254671,-0.8108225309311254
14,RF,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'max_features': 0.5}",20,False,2097,0.38875981701771156,0.4411206799894403,-0.3954946946530788,0.4186231526207856,-0.8141178472738644
67,ET,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2, 'max_features': 'sqrt'}",10,True,2097,0.3860543214708802,0.43754544467029716,-0.3750450009699687,0.45147862116720483,-0.8265236221371735
25,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 2, 'max_features': 'sqrt'}",20,False,2097,0.39336039834092995,0.44672259921227964,-0.3967533829689212,0.43183857653341573,-0.828591959502337
68,ET,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'sqrt'}",15,False,2097,0.3918962299012372,0.4451194657208209,-0.39152351217415804,0.43859324374857817,-0.8301167559227363
58,RF,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 0.5}",20,False,2097,0.39100102954631,0.4433764450525712,-0.4023981779625021,0.42793591795018354,-0.8303340959126857
38,RF,"{'n_estimators': 500, 'max_depth': 30, 'min_samples_split': 10, 'max_features': 'log2'}",5,True,2097,0.3916983350963743,0.44408855832713107,-0.40847780314191223,0.4276438478185672,-0.8361216509604794
48,ET,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'sqrt'}",20,True,2097,0.3954906383782905,0.4494183040080071,-0.406560128468771,0.4299167992462275,-0.8364769277149985
56,RF,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",5,False,2097,0.392196460775486,0.4448091787735671,-0.41005283454765323,0.42815564250853366,-0.8382084770561868
10,ET,"{'n_estimators': 500, 'max_depth': 20, 'min_samples_split': 10, 'max_features': 0.5}",10,True,2097,0.39220206154832543,0.445061630122225,-0.3903820742808805,0.4480669649419223,-0.8384490392228028
77,RF,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'log2'}",5,False,2097,0.39213376165484776,0.44479501432718466,-0.4102824960479868,0.42857965143343946,-0.8388621474814262
62,ET,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5, 'max_features': 'log2'}",10,False,2097,0.39420723171039906,0.44770501469556295,-0.40167391917956624,0.4381737298168457,-0.839847648996412
11,RF,"{'n_estimators': 200, 'max_depth': 5, 'min_samples_split': 5, 'max_features': 'log2'}",20,False,2097,0.40222766482718253,0.4574952611391283,-0.4500435719373404,0.3900711994737998,-0.8401147714111402
47,RF,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 2, 'max_features': 0.5}",15,False,2097,0.39833786840569924,0.4527880320363566,-0.44125839571164555,0.4001471809723687,-0.8414055766840143
75,RF,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'max_features': 'sqrt'}",15,True,2097,0.39521139379887743,0.4483419635651879,-0.4182356890877885,0.424137578777281,-0.8423732678650695
17,RF,"{'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'max_features': 'log2'}",10,True,2097,0.39003685814961014,0.44251234353735797,-0.40417019754572664,0.4382344527768353,-0.842404650322562
